Time,A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Thermostat,SV3,SV2 New,SV3 New,Return,Bath2 SV,BGlobe,Heater 1,Humidifier 2,Total [V],Diffuse [V],Kitchen Pyranometer [V],Living Room Pyranometer [V],Master Bedroom Pyranometer [V],Bedroom2 Pyranometer [V],Bedroom3 Pyranometer [V],Total [W/m2],Diffuse [W/m2],Kitchen Pyranometer [W/m2],Living Room Pyranometer [W/m2],Master Bedroom Pyranometer [W/m2],Bedroom2 Pyranometer [W/m2],Bedroom3 Pyranometer [W/m2],SV1 RH[%],TStatRH[%],SV2 RH[%],SV3 RH[%],SV4 RH [%],SV5 RH [%],SV9 RH [%],SV6 RH [%]
6/8/2024 5:52:50 PM,26.984278,28.499146,45.329132,26.127884,27.015242,45.561602,23.989757,25.136714,33.589771,24.233706,24.566099,33.072492,24.899403,25.492686,25.478068,25.323415,27.454401,25.860909,25.112678,25.674646,24.411800,23.155220,25.538327,33.162830,24.921549,25.809329,33.248466,24.661938,24.857517,33.274311,23.452131,24.541120,33.949451,24.774548,25.282537,22.232836,-56927.795519,22.262961,33.757530,23.465262,24.581681,33.596304,25.303101,26.530770,44.403700,25.056501,26.291417,45.135857,24.532692,24.095603,23.407441,23.314294,21.975409,23.542768,23.608354,23.153654,22.789487,22.188433,15.113853,24.244245,1,1,0.582914,0.163322,-1.412936,-1.145685,-0.888940,-0.736600,-0.588856,582.913790,163.322033,0.000000,0.000000,0.000000,0.000000,0.000000,46.009388,47.347417,55.429797,56.806534,48.335990,49.892441,48.692317,51.746485
6/8/2024 5:53:20 PM,26.986902,28.505393,45.309943,26.130057,27.016500,45.541984,23.979796,25.130662,33.578435,24.223750,24.562787,33.062493,24.883973,25.480244,25.466768,25.318737,27.460938,25.872032,25.111705,25.675272,24.416319,23.167325,25.527763,33.155579,24.916459,25.806987,33.245036,24.667828,24.867750,33.274702,23.449090,24.532593,33.964018,24.770639,25.295769,22.241554,-56931.050672,22.276048,33.770756,23.466617,24.589212,33.606840,25.310392,26.541916,44.400603,25.073168,26.295273,45.110820,24.536957,24.198130,23.415156,23.331648,21.979927,23.531676,23.536721,23.180653,22.819723,22.144648,15.141321,24.243474,0,0,0.593092,0.173172,-1.370911,-1.116464,-0.872524,-0.727078,-0.585245,593.091685,173.171601,0.000000,0.000000,0.000000,0.000000,0.000000,45.779674,47.577131,55.561063,56.150207,48.204724,48.514154,49.250196,51.877751
6/8/2024 5:53:50 PM,26.997665,28.522477,45.296183,26.113697,27.026352,45.544456,23.993835,25.135296,33.583437,24.230912,24.569257,33.075370,24.900043,25.490585,25.479850,25.327939,27.466860,25.869073,25.107827,25.675965,24.403737,23.154939,25.526857,33.150866,24.922870,25.801517,33.235830,24.660972,24.870502,33.266170,23.444281,24.531685,33.958062,24.761137,25.279651,22.224412,-56929.246124,22.258678,33.746388,23.452043,24.576732,33.607841,25.295874,26.534273,44.366860,25.064587,26.288766,45.091828,24.524834,24.190580,23.408511,23.302974,22.029402,23.482601,23.416081,23.116393,22.774250,22.223774,15.210673,24.242565,1,1,0.593748,0.170217,-1.323305,-1.059337,-0.807517,-0.656162,-0.509403,593.748323,170.216730,0.000000,0.000000,0.000000,0.000000,0.000000,45.845306,47.774030,55.200083,56.773718,48.368806,49.137665,48.889215,51.746485
6/8/2024 5:54:20 PM,26.991774,28.524095,45.265716,26.084984,27.004979,45.508522,23.962932,25.083209,33.561006,24.218804,24.548003,33.041448,24.873316,25.471428,25.466631,25.316772,27.463287,25.853392,25.094635,25.666899,24.412273,23.162810,25.522356,33.144637,24.912875,25.798160,33.228253,24.664241,24.863479,33.248481,23.448476,24.531065,33.965677,24.764323,25.276665,22.223706,-56930.971182,22.249003,33.742780,23.441934,24.571452,33.604008,25.293345,26.535169,44.345526,25.064114,26.278261,45.068768,24.462693,24.216343,23.389812,23.314331,21.967852,23.449226,23.648746,23.094699,22.789294,22.181340,15.247908,24.228251,0,0,0.601628,0.176783,-1.209378,-0.962483,-0.727407,-0.583275,-0.437830,601.627984,176.783109,0.000000,0.000000,0.000000,0.000000,0.000000,45.845306,47.642764,56.118941,56.904983,48.204724,49.728359,48.922032,51.680853
6/8/2024 5:54:50 PM,26.986482,28.526081,45.268733,26.083788,26.996499,45.500354,23.945690,25.033774,33.546351,24.180501,24.537191,33.044766,24.865712,25.462920,25.479822,25.322885,27.454690,25.843169,25.098339,25.663292,24.417356,23.151380,25.517150,33.136815,24.913150,25.800032,33.215937,24.660398,24.859866,33.250099,23.435218,24.529052,33.955893,24.752978,25.271273,22.209540,-56931.485026,22.241277,33.740401,23.431934,24.575892,33.609713,25.297093,26.528424,44.329790,25.059863,26.279037,45.042520,24.385918,24.161744,23.328235,23.277297,22.031495,23.419085,23.623203,23.097133,22.782541,22.125585,15.295670,24.224954,1,1,0.600315,0.165949,-1.409325,-1.140760,-0.883686,-0.733973,-0.588200,600.314707,165.948584,0.000000,0.000000,0.000000,0.000000,0.000000,46.698532,47.970928,55.396981,56.347105,48.335990,48.514154,49.151746,51.746485
6/8/2024 5:55:20 PM,26.988832,28.520480,45.262880,26.065383,26.972438,45.471478,23.928120,24.970975,33.532273,24.181949,24.513921,33.034495,24.861898,25.463222,25.498624,25.315875,27.451605,25.836878,25.083809,25.648323,24.388154,23.126691,25.512453,33.122975,24.903188,25.796023,33.211540,24.644711,24.854477,33.239634,23.433713,24.522972,33.951956,24.744390,25.267721,22.199295,-56933.483104,22.238852,33.745667,23.440067,24.576454,33.615430,25.292170,26.531490,44.323076,25.066596,26.292366,45.034718,24.416069,24.080135,23.359602,23.277231,21.842732,23.405485,23.514668,23.124842,22.765706,22.315023,15.422802,24.204964,0,0,0.436483,0.161024,-1.256328,-1.009104,-0.769760,-0.625300,-0.482481,436.483452,161.023800,0.000000,0.000000,0.000000,0.000000,0.000000,47.453308,47.741213,55.987676,56.576820,48.335990,49.859625,49.053297,51.648036
6/8/2024 5:55:50 PM,26.989414,28.506536,45.280554,26.051823,26.944104,45.478399,23.921144,24.932002,33.540035,24.195131,24.511302,33.039342,24.868429,25.459238,25.506745,25.328112,27.447446,25.851648,25.082144,25.632504,24.398161,23.130298,25.516956,33.117291,24.895805,25.787056,33.205857,24.636180,24.845264,33.236649,23.436171,24.519703,33.955441,24.739936,25.259845,22.199417,-56934.842816,22.241504,33.753420,23.434224,24.571541,33.616672,25.294119,26.548475,44.309785,25.059631,26.302519,45.044931,24.396622,24.157796,23.359613,23.251541,21.836759,23.436693,23.495642,23.058282,22.733327,22.151522,15.609463,24.204288,1,1,0.368850,0.158397,-1.367956,-1.102675,-0.850855,-0.697858,-0.551100,368.849723,158.397249,0.000000,0.000000,0.000000,0.000000,0.000000,47.223594,48.003744,56.086125,56.314289,48.237541,48.382888,48.856399,51.844935
6/8/2024 5:56:20 PM,26.972970,28.503989,45.292351,26.044244,26.940638,45.494358,23.927509,24.905426,33.541333,24.199660,24.521779,33.037494,24.862432,25.465126,25.518799,25.336286,27.434535,25.839150,25.063683,25.628905,24.414698,23.095233,25.497826,33.110376,24.890829,25.775013,33.189502,24.624337,24.833426,33.225914,23.419021,24.517927,33.948669,24.726857,25.252721,22.215246,-56935.031736,22.237324,33.745523,23.434872,24.559601,33.614162,25.286768,26.545017,44.323594,25.066220,26.298147,45.047965,24.385974,24.155388,23.365918,23.247981,21.946647,23.446897,23.335634,22.995027,22.698058,22.206834,15.709170,24.189055,0,0,0.540232,0.170873,-1.168667,-0.923741,-0.686039,-0.541250,-0.395805,540.232297,170.873368,0.000000,0.000000,0.000000,0.000000,0.000000,46.600083,47.839662,55.692328,56.773718,48.204724,49.761176,48.922032,51.713669
6/8/2024 5:56:50 PM,26.962211,28.475787,45.287250,26.016354,26.919631,45.484653,23.912327,24.896220,33.511850,24.187693,24.495172,33.012028,24.859858,25.459586,25.521481,25.317036,27.437726,25.839842,25.075577,25.627770,24.361136,23.132885,25.504456,33.111956,24.894723,25.783009,33.191532,24.632352,24.835491,33.224123,23.437380,24.525715,33.940340,24.717223,25.244012,22.209471,-56935.520099,22.231779,33.740333,23.422001,24.549049,33.604480,25.287884,26.533824,44.330163,25.063223,26.304734,45.061987,24.378526,24.034088,23.398143,23.290769,21.892675,23.380249,23.314861,23.087655,22.774894,22.301456,15.740062,24.184581,1,1,0.487701,0.159711,-1.371896,-1.104973,-0.850855,-0.698186,-0.551100,487.701234,159.710524,0.000000,0.000000,0.000000,0.000000,0.000000,47.814289,48.036561,55.396981,56.806534,48.532888,48.317255,49.381461,51.319873
6/8/2024 5:57:20 PM,26.960744,28.461614,45.290005,26.023554,26.920213,45.473592,23.927579,24.958088,33.505013,24.193318,24.507888,33.003385,24.855870,25.451262,25.543533,25.329502,27.421802,25.823180,25.057059,25.615896,24.183903,23.110848,25.493264,33.086551,24.885118,25.772280,33.164558,24.624343,24.837777,33.198724,23.421551,24.514500,33.923661,24.717150,25.233884,22.199968,-56935.899526,22.234005,33.730608,23.414128,24.548747,33.593628,25.282556,26.533524,44.349434,25.071837,26.304433,45.090229,24.358869,24.024956,23.336232,23.288507,21.815604,23.451853,23.277492,23.051186,22.830283,22.204213,15.734964,24.171330,0,0,0.581601,0.165620,-1.329871,-1.065903,-0.815068,-0.664370,-0.517283,581.600513,165.620265,0.000000,0.000000,0.000000,0.000000,0.000000,47.912738,48.036561,55.495430,57.233147,48.828235,48.120357,49.250196,52.435629
