Time,Relative Humidity [%],Relative Air Pressure [kPa],Wind Direction [deg],Precipitation Type,Wind Measurement Quality [%],Global Radiation [W/m2],Air Temperature [degC],Dew Point [degC],Wind Chill Temperature [degC],Wind Speed [m/s],Precipitation Accumulation [mm],A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Thermostat,SV2 New,SV3 New,IDU Return Air,Bath2 SV,IDU Distributor,IDU CoilInt,IDU CoilOut,IDU CoilIn,ODU CoilOut,ODU CompSuc,ODU CoilInt,ODU CoilIn,ODU CompDis,ODU Coil2,ODU Coil3,BGlobe,Kitchen Pyranometer [V] ,Living Room Pyranometer [V] ,Master Bedroom Pyranometer [V] ,Bedroom 2 Pyranometer [V] ,Bedroom 3 Pyranometer [V] ,Kitchen Irradiance [W/m2] ,Living Room Irradiance [W/m2],Master Bedroom Irradiance [W/m2],Bedroom 2 Irradiance [W/m2],Bedroom 3 Irradiance [W/m2],SV3 RH[%],BR3 RH [%],SV1 RH [%],BR1-SV1 RH [%],MB RH [%],SV2 RH [%],BR1 SV2 RH [%],BR3 SV RH [%],BTH SV RH [%],TstatRH [%],Return RH[%],CO2 [ppm],TVOC[ug/m3]
7/18/2024 2:39:51 PM,67.300000,101.590000,1.700000,0.000000,100.000000,0.000000,31.000000,24.200000,34.100000,3.100000,0.000000,24.858869,25.569821,34.513029,24.035981,24.723231,36.623939,24.383851,25.207051,33.581182,24.078820,24.320892,32.770626,23.829749,24.336461,32.412572,24.365308,24.246104,25.317507,32.016265,24.316401,24.734071,33.532080,23.926548,24.551714,33.523994,24.375927,24.695638,32.704118,24.101357,24.257096,33.303367,22.847626,33.433904,24.681216,25.488827,36.576471,24.230982,24.678242,31.006919,24.052326,24.569327,37.501105,24.120131,24.312042,34.016552,24.090582,24.626075,35.526857,22.544167,23.208114,21.902528,21.154223,21.871689,22.334293,21.928762,15.360680,21.669343,15.398955,12.806132,12.344492,13.485064,30.702737,34.789471,23.837668,35.012642,61.497713,65.120959,41.890221,33.973274,25.085137,-0.461219,-0.505517,-0.553424,-0.485829,-0.261388,-861.219248,-905.516797,-953.423774,-885.828998,-661.388053,47.001114,48.937768,43.948420,44.506440,46.771341,150.923951,57.505003,204.723529,50.972897,51.301083,48.248451,555.385341,814.564927
7/18/2024 2:40:20 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.856927,25.556921,34.598990,24.018685,24.704359,36.672262,24.360387,25.195740,33.571413,24.041824,24.295821,32.729794,23.802819,24.321237,32.412461,24.353519,24.212040,25.301799,32.025559,24.303636,24.719487,33.525622,23.901398,24.533692,33.501587,24.353319,24.679680,32.705299,24.046665,24.212727,33.292412,22.788653,33.449963,24.660506,25.482313,36.606713,24.203153,24.645405,30.993480,23.869358,24.493685,37.502995,24.120700,24.325431,34.112691,24.090921,24.635567,35.564321,22.694802,23.195387,21.866291,21.419121,21.797930,22.294180,22.014026,16.569824,21.662792,16.588679,14.094086,13.607973,14.323616,29.405654,32.796968,25.650219,34.241557,56.370858,61.278029,41.877466,33.586781,25.041616,-0.396578,-0.435625,-0.483860,-0.424797,-0.204293,-796.577636,-835.625108,-883.860218,-824.796817,-604.293416,46.836990,48.970593,44.670563,45.589653,45.622478,156.405666,59.047762,212.765564,50.611826,52.482771,49.462963,553.612812,809.247338
7/18/2024 2:40:50 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.847803,25.566080,34.666472,23.984114,24.683794,36.716698,24.344157,25.169711,33.552122,24.022834,24.272490,32.720144,23.780839,24.294930,32.395150,24.323551,24.188118,25.305580,32.025006,24.300097,24.725560,33.523948,23.888461,24.525807,33.496544,24.336731,24.671111,32.710372,24.046790,24.199340,33.297029,22.754092,33.463565,24.640268,25.447720,36.626478,24.200301,24.638895,30.986830,23.779867,24.447804,37.496433,24.123116,24.322123,34.189087,24.090818,24.640497,35.611863,22.620117,23.112059,21.871803,21.582185,21.824390,22.377861,22.129961,17.279717,21.704454,17.208822,14.981613,14.175277,14.826955,28.156948,32.573751,26.941883,33.957581,52.861876,59.155363,41.890755,33.354507,25.008127,-0.302076,-0.333249,-0.334889,-0.232184,0.034257,-702.076183,-733.248538,-734.889188,-632.184475,-365.742776,47.460659,49.758385,45.162933,46.246146,45.983549,65.809641,59.080587,118.854275,52.253059,52.482771,49.988157,552.168529,811.019868
7/18/2024 2:41:20 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.862305,25.574394,34.737597,23.980084,24.680913,36.757850,24.335322,25.170719,33.562546,24.019033,24.268692,32.714836,23.746549,24.270982,32.386237,24.317692,24.172458,25.298639,32.009374,24.291539,24.716781,33.503198,23.883562,24.523890,33.468379,24.333439,24.667822,32.698137,24.061365,24.219636,33.282337,22.738614,33.482145,24.630363,25.444228,36.649849,24.175271,24.643634,30.986764,23.818079,24.442931,37.488123,24.126714,24.318393,34.253844,24.092813,24.629676,35.641992,22.686068,22.990851,21.965013,21.911855,21.926123,22.430744,22.281300,19.515147,21.708606,17.104676,15.402579,14.483351,14.993767,27.160889,32.544725,28.154684,33.807384,50.266813,57.738788,42.031846,33.185306,24.974673,-0.310279,-0.342436,-0.356874,-0.270904,-0.023166,-710.279434,-742.436180,-756.873902,-670.903826,-423.165566,46.508744,48.904944,45.294231,45.655303,46.574393,128.406247,60.098151,174.459217,52.745428,52.909492,50.546176,551.971581,814.269505
7/18/2024 2:41:50 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.859089,25.575749,34.786202,23.970445,24.683415,36.773232,24.313785,25.155619,33.539621,23.996107,24.249442,32.705597,23.719712,24.252419,32.375190,24.300733,24.141922,25.287597,31.987445,24.271315,24.695888,33.490321,23.853236,24.500472,33.451458,24.331534,24.659054,32.679164,24.060833,24.224371,33.253049,22.708215,33.489259,24.625939,25.434558,36.659818,24.150688,24.622736,31.009042,23.930069,24.442854,37.477131,24.112894,24.325185,34.314546,24.090446,24.633032,35.667637,22.817289,23.202090,22.068599,22.116447,22.093444,22.523655,22.428265,21.574183,21.656622,17.110074,15.687487,14.676277,15.032590,26.367788,32.543649,28.874862,33.746018,48.091490,56.597747,42.157401,33.106605,24.937891,-0.356546,-0.381156,-0.421844,-0.364749,-0.152449,-756.545772,-781.155524,-821.843647,-764.749023,-552.448856,47.427834,49.495787,46.082023,46.804166,47.657607,100.669421,60.065327,154.698785,51.695039,52.876667,50.907248,552.234178,821.064201
7/18/2024 2:42:20 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.864972,25.597608,34.838115,23.973361,24.675116,36.793922,24.306166,25.157842,33.533495,23.988254,24.241593,32.703285,23.716211,24.248234,32.363195,24.286246,24.137975,25.288687,31.986266,24.274239,24.704529,33.487798,23.857767,24.494010,33.444666,24.336289,24.665636,32.678437,24.072463,24.224776,33.258840,22.721027,33.500976,24.614993,25.426828,36.684405,24.140876,24.623917,31.029399,24.031608,24.466925,37.472042,24.115680,24.305760,34.387012,24.087963,24.640163,35.691155,22.958623,23.411904,22.229246,22.301683,22.273859,22.776499,22.549263,22.767311,21.615501,17.186662,15.868068,14.758878,15.086404,25.652645,32.276511,29.032548,33.523724,45.935951,55.257907,42.290180,32.950115,24.925545,-0.302404,-0.329967,-0.340139,-0.254497,-0.012994,-702.404313,-729.967238,-740.139269,-654.497321,-412.993530,46.869815,50.414878,45.524004,45.688127,48.018678,65.678342,58.785165,100.045752,52.121760,52.745368,51.990461,553.744110,832.684117
7/18/2024 2:42:50 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.866603,25.599922,34.896834,23.983015,24.692305,36.829874,24.311692,25.156044,33.523192,23.998595,24.256050,32.705340,23.716470,24.246890,32.358947,24.290169,24.125113,25.292308,31.980824,24.261610,24.684819,33.474285,23.847419,24.500613,33.432051,24.339001,24.665143,32.674127,24.071283,24.210314,33.259480,22.721452,33.523005,24.617069,25.430956,36.706738,24.146847,24.641094,31.039123,24.030708,24.477470,37.474732,24.115925,24.307379,34.445995,24.088437,24.638119,35.720912,23.144455,23.651443,22.429388,22.508460,22.446859,22.974113,22.724689,23.281005,21.602252,17.341569,15.999179,14.844277,15.146759,25.041150,32.273913,29.299417,33.463806,44.005800,54.314971,42.425236,32.877780,24.915882,-0.343421,-0.361468,-0.392640,-0.328983,-0.113729,-743.420570,-761.467722,-792.640075,-728.982848,-513.729498,47.132412,49.462963,45.130108,46.443094,47.001114,159.130111,60.787469,214.636567,52.942376,52.909492,53.139324,549.345611,832.388695
7/18/2024 2:43:20 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.858487,25.608487,34.938385,23.999399,24.698370,36.860330,24.312495,25.151818,33.514322,24.001232,24.247007,32.704330,23.714982,24.243572,32.353433,24.282271,24.113666,25.278375,31.977674,24.251997,24.680477,33.462384,23.843528,24.488259,33.411387,24.338320,24.664233,32.659281,24.075869,24.211006,33.241056,22.727200,33.544397,24.628564,25.447914,36.731339,24.168661,24.644809,31.071687,24.087805,24.494233,37.464313,24.123997,24.330788,34.520925,24.102007,24.657622,35.765463,23.338966,23.927330,22.578006,22.714261,22.647632,23.077108,22.837155,23.475919,21.603774,17.566614,16.080888,14.929462,15.197801,24.468958,32.306252,29.658106,33.419090,42.569782,53.497038,42.554000,32.764615,24.920186,-0.373609,-0.409703,-0.463844,-0.428078,-0.244982,-773.608534,-809.702837,-863.844288,-828.078118,-644.981549,47.001114,50.349229,45.228582,46.114848,47.165237,13.224539,59.868379,49.791209,51.826338,52.843842,53.073675,551.380738,835.835280
7/18/2024 2:43:50 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.850792,25.604686,34.984376,23.993752,24.688385,36.892534,24.299067,25.147099,33.500025,23.983442,24.243882,32.679884,23.711854,24.241592,32.335049,24.267697,24.121303,25.280281,31.974597,24.257343,24.672548,33.451229,23.844065,24.494517,33.401353,24.335651,24.663854,32.663184,24.076864,24.214520,33.220681,22.754617,33.551696,24.621813,25.437520,36.755550,24.164423,24.638974,31.086699,24.108306,24.493203,37.454173,24.117010,24.322888,34.575056,24.101663,24.646525,35.789722,23.455397,24.075459,22.708410,22.850139,22.791569,23.155504,23.005372,23.603552,21.584322,17.799889,16.132507,14.994992,15.232011,23.948074,32.166514,29.563801,33.254718,41.127792,52.443685,42.728679,32.658404,24.907206,-0.369015,-0.404125,-0.449735,-0.408062,-0.219387,-769.014713,-804.124626,-849.734698,-808.062187,-619.387401,48.576697,49.758385,44.998809,47.624782,47.690431,158.473618,58.227146,210.861735,50.644650,52.614070,53.566045,550.658596,836.524597
7/18/2024 2:44:20 PM,67.300000,101.580000,328.800000,0.000000,100.000000,0.000000,31.000000,24.100000,34.200000,4.600000,0.000000,24.852848,25.616785,35.040581,24.012766,24.698448,36.938262,24.305018,25.153268,33.488342,23.997645,24.237010,32.685957,23.730650,24.250978,32.340225,24.269298,24.126893,25.281745,31.963646,24.252397,24.666921,33.438290,23.843011,24.492092,33.387514,24.332767,24.655710,32.643248,24.071459,24.205910,33.211331,22.783883,33.558462,24.624358,25.454679,36.784139,24.164680,24.630307,31.092370,24.119100,24.496435,37.426791,24.115206,24.308492,34.648371,24.092528,24.650213,35.837146,23.572783,24.270780,22.830575,22.975252,22.890977,23.317709,23.126542,23.850639,21.556875,18.057710,16.173239,15.086035,15.298032,23.483110,32.205439,29.730633,33.271777,39.962051,51.791158,42.918816,32.584240,24.925232,-0.366062,-0.399531,-0.440547,-0.394609,-0.200684,-766.061543,-799.530806,-840.547058,-794.608856,-600.683985,46.705692,50.185105,45.130108,46.311796,48.149977,113.175611,60.787469,174.885937,51.202670,52.876667,55.240102,547.376134,840.955920
