Time,Relative Humidity [%],Relative Air Pressure [kPa],Wind Direction [deg],Precipitation Type,Wind Measurement Quality [%],Global Radiation [W/m2],Air Temperature [degC],Dew Point [degC],Wind Chill Temperature [degC],Wind Speed [m/s],Precipitation Accumulation [mm],A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Thermostat,SV2 New,SV3 New,IDU Return Air,Bath2 SV,IDU Distributor,IDU CoilInt,IDU CoilOut,IDU CoilIn,ODU CoilOut,ODU CompSuc,ODU CoilInt,ODU CoilIn,ODU CompDis,ODU Coil2,ODU Coil3,BGlobe,Kitchen Pyranometer [V] ,Living Room Pyranometer [V] ,Master Bedroom Pyranometer [V] ,Bedroom 2 Pyranometer [V] ,Bedroom 3 Pyranometer [V] ,Kitchen Irradiance [W/m2] ,Living Room Irradiance [W/m2],Master Bedroom Irradiance [W/m2],Bedroom 2 Irradiance [W/m2],Bedroom 3 Irradiance [W/m2],SV3 RH[%],BR3 RH [%],SV1 RH [%],BR1-SV1 RH [%],MB RH [%],SV2 RH [%],BR1 SV2 RH [%],BR3 SV RH [%],BTH SV RH [%],TstatRH [%]
6/20/2024 2:22:03 PM,65.800000,101.890000,79.700000,0.000000,100.000000,0.000000,31.000000,23.800000,35.000000,4.200000,0.000000,25.122427,25.938873,35.946209,24.236567,24.868643,37.230181,24.383105,25.066195,32.275163,24.125031,24.333424,31.821632,23.845503,24.372574,33.551700,24.276183,24.520529,25.285001,33.019177,24.138403,24.484367,32.140788,23.863695,24.445685,32.216694,24.322063,24.574995,31.468829,24.064644,24.190394,31.819464,23.209621,33.759451,24.825224,25.463141,34.438351,24.411296,24.839175,31.172062,24.115445,24.387031,34.536765,24.319721,24.569908,35.550466,24.226984,24.785883,36.401105,23.139283,22.863076,22.433404,20.908698,22.076502,22.912222,22.686200,13.503836,22.277523,13.158295,11.084024,7.626239,13.189718,33.705738,36.122287,19.698673,36.993437,66.937039,70.106589,46.449337,35.311360,25.395811,-0.649566,-0.700426,-0.607237,-0.446782,-0.142933,-1049.565850,-1100.425990,-1007.237087,-846.781528,-542.933082,25.435313,30.982680,38.565177,47.329360,46.246146,-151.358378,50.053807,-164.586726,51.859163,52.843842
6/20/2024 2:22:33 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.095440,25.926993,35.939937,24.218462,24.861997,37.247779,24.354702,25.046292,32.274474,24.117000,24.323336,31.814631,23.819819,24.367523,33.568307,24.285099,24.507633,25.284922,33.027419,24.108776,24.476048,32.149945,23.841385,24.426835,32.228102,24.319923,24.583611,31.477999,24.068917,24.190314,31.841926,23.168000,33.753142,24.811935,25.461062,34.431826,24.391815,24.807589,31.176327,24.065484,24.389525,34.537414,24.317408,24.570342,35.547535,24.230395,24.804158,36.428548,23.048861,22.748250,22.363309,20.898803,21.969078,22.711264,22.566046,13.381284,22.177045,13.027206,10.832377,7.611544,12.741868,34.045588,36.681690,19.809898,37.300459,67.406684,70.659351,46.671637,35.568226,25.368663,-0.459250,-0.508142,-0.479923,-0.366062,-0.104870,-859.250468,-908.141837,-879.922658,-766.061543,-504.869984,48.412574,50.808774,46.607218,45.885075,48.806470,-108.916062,60.918768,-162.551596,52.154585,53.106440
6/20/2024 2:23:03 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.100642,25.928535,35.956870,24.196650,24.851421,37.295428,24.344573,25.047837,32.287255,24.104346,24.320762,31.842075,23.798676,24.356478,33.581279,24.284127,24.486198,25.274718,33.037390,24.102670,24.461936,32.163313,23.823358,24.419361,32.237864,24.317942,24.586208,31.496573,24.071287,24.193142,31.853499,23.144668,33.759066,24.805390,25.444476,34.445589,24.386409,24.814996,31.191536,24.074049,24.380686,34.557899,24.327342,24.578669,35.561267,24.243537,24.798299,36.461904,23.008057,22.789201,22.337390,20.858965,21.933243,22.669971,22.439924,13.327901,22.131104,12.983870,10.913282,7.468438,12.920054,34.504067,36.351781,19.794704,37.258060,67.640792,70.714116,46.853412,35.565740,25.327299,-0.390671,-0.434313,-0.434641,-0.342436,-0.087479,-790.671295,-834.312588,-834.640718,-742.436180,-487.479085,49.856859,52.975201,48.937768,49.758385,51.432442,311.272253,64.299707,310.944007,52.285883,53.172089
6/20/2024 2:23:33 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.080431,25.902654,35.967281,24.164490,24.837603,37.345931,24.340356,25.036082,32.295493,24.093484,24.317690,31.828006,23.780243,24.346538,33.584779,24.275101,24.460287,25.276956,33.044763,24.075134,24.446553,32.168447,23.787554,24.387494,32.238494,24.295914,24.581584,31.504196,24.072844,24.186682,31.862017,23.105829,33.787002,24.793824,25.441377,34.453084,24.361325,24.789249,31.178769,24.066817,24.364530,34.590047,24.323778,24.569157,35.563153,24.234705,24.804117,36.510003,23.027855,22.616487,22.240637,20.847025,21.852057,22.630274,22.367563,13.287633,22.039830,12.933013,10.877279,7.332167,13.282475,34.279674,35.828967,19.698580,37.079467,67.365815,70.478109,47.036526,35.479554,25.289122,-0.344405,-0.381156,-0.381484,-0.296498,-0.047447,-744.404960,-781.155524,-781.483654,-696.497971,-447.447202,48.117152,50.775949,46.672867,48.281275,48.740820,169.962241,60.951592,207.218201,52.482831,53.598809
6/20/2024 2:24:03 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.078668,25.909793,36.008915,24.148065,24.836525,37.404386,24.326456,25.046435,32.305465,24.107294,24.323708,31.849033,23.765868,24.336301,33.601687,24.271274,24.438345,25.268306,33.047043,24.055466,24.431936,32.177489,23.767186,24.373561,32.246183,24.307853,24.587795,31.510543,24.068065,24.196104,31.864303,23.056277,33.812829,24.787201,25.433849,34.486722,24.350346,24.776222,31.198641,24.063162,24.354010,34.643398,24.332946,24.587932,35.579940,24.242272,24.826770,36.553769,22.996506,22.485596,22.129423,20.793155,21.795540,22.686672,22.250400,13.220449,21.943757,12.870001,10.769193,7.346528,13.136732,33.872777,36.017052,19.737761,37.162777,67.349742,70.536831,47.081566,35.521252,25.243029,-0.331280,-0.364093,-0.364093,-0.284685,-0.044166,-731.279758,-764.092763,-764.092763,-684.685289,-444.165900,48.084327,50.972897,46.574393,47.953029,48.609522,200.489152,61.181365,197.797532,52.482831,53.040790
6/20/2024 2:24:33 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.053818,25.885671,36.010322,24.114004,24.809147,37.440107,24.296529,25.027070,32.314089,24.082851,24.306375,31.845718,23.730862,24.314846,33.595690,24.246611,24.414800,25.258969,33.049099,24.035796,24.413198,32.182251,23.730770,24.347266,32.253196,24.298269,24.574555,31.520725,24.072221,24.181021,31.880788,23.028071,33.845119,24.774814,25.418281,34.522106,24.323981,24.754913,31.206731,23.987981,24.344587,34.687958,24.325126,24.586752,35.590641,24.244069,24.827192,36.602175,22.886370,22.439479,22.078441,21.158034,21.738996,22.567042,22.160101,13.111959,21.921061,12.782317,10.672616,7.333077,12.724576,33.978794,35.869839,19.717038,37.085809,67.245734,70.429230,46.984251,35.513673,25.208938,-0.330952,-0.363108,-0.364749,-0.290920,-0.057291,-730.951628,-763.108372,-764.749023,-690.919760,-457.291108,48.215626,51.005722,46.344620,48.051503,48.773645,267.057494,61.312663,332.115881,52.581305,53.204914
6/20/2024 2:25:03 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.049405,25.893818,36.043552,24.104772,24.810678,37.492849,24.297605,25.034317,32.329557,24.087363,24.311572,31.864583,23.739045,24.308595,33.622571,24.251579,24.397113,25.246798,33.041170,24.004119,24.390932,32.181966,23.717413,24.330950,32.251335,24.302559,24.561451,31.530814,24.065059,24.182335,31.886137,22.989898,33.883223,24.766752,25.423251,34.566210,24.325528,24.751197,31.228567,24.031686,24.342700,34.744146,24.329421,24.584408,35.603112,24.239662,24.830338,36.639842,22.836970,22.398309,22.032407,21.022228,21.644116,22.497612,22.078879,13.076521,21.850155,12.766100,10.711262,7.149399,12.963921,33.891693,35.317570,19.580813,36.819134,67.053204,70.123895,46.608401,35.329994,25.164725,-0.316842,-0.346046,-0.340467,-0.264669,-0.033338,-716.842035,-746.045610,-740.467399,-664.669354,-433.337603,48.248451,50.907248,46.443094,48.018678,49.069067,-24.819248,61.247014,-33.386486,52.778253,53.172089
6/20/2024 2:25:33 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.030204,25.894049,36.061879,24.071560,24.780031,37.515355,24.283869,25.026318,32.340818,24.078661,24.307911,31.869769,23.712685,24.302645,33.605057,24.237384,24.384411,25.258112,33.041061,24.002862,24.387616,32.197398,23.717531,24.336562,32.268566,24.304966,24.582164,31.543786,24.072737,24.197110,31.911044,22.969580,33.905244,24.754654,25.413225,34.588200,24.288920,24.738184,31.246196,24.034919,24.322807,34.784724,24.322120,24.584205,35.616334,24.247931,24.827162,36.655268,22.789961,22.288025,21.980256,20.960510,21.583171,22.491484,22.033175,13.052910,21.796142,12.714540,10.740342,7.110744,13.089501,33.451873,35.034907,19.554525,36.585244,66.801945,69.840289,46.215262,35.148581,25.125342,-0.327014,-0.358186,-0.356874,-0.285998,-0.060901,-727.014067,-758.186422,-756.873902,-685.997809,-460.900540,45.589653,47.591957,44.703388,44.506440,44.703388,-94.965574,57.734776,-93.028918,52.646954,53.007966
6/20/2024 2:26:03 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.017047,25.914232,36.068906,24.048296,24.781278,37.502310,24.273896,25.041738,32.351277,24.073037,24.286032,31.884069,23.706598,24.285803,33.592805,24.228785,24.351656,25.236616,33.010915,23.976268,24.363103,32.213148,23.675559,24.313192,32.269000,24.311818,24.574595,31.553468,24.062640,24.187475,31.916436,22.923638,33.928408,24.748297,25.411903,34.612677,24.287136,24.750585,31.262266,24.029010,24.329266,34.813896,24.328579,24.593177,35.625327,24.254849,24.845736,36.669822,22.779264,22.358022,21.933643,21.038775,21.523160,22.401474,22.062952,12.969028,21.742374,12.622613,10.603447,7.146968,12.712293,33.229962,35.311699,19.545141,36.674924,66.812643,69.924250,46.118919,35.173622,25.088881,-0.313561,-0.343092,-0.336858,-0.263357,-0.039244,-713.560735,-743.092440,-736.857969,-663.356834,-439.243947,48.215626,51.071371,46.344620,48.051503,48.707996,136.940654,61.805033,141.076559,52.581305,53.467511
6/20/2024 2:26:33 PM,65.500000,101.890000,40.000000,0.000000,100.000000,0.000000,31.200000,23.900000,34.500000,4.400000,0.000000,25.016897,25.917734,36.067866,24.020195,24.775866,37.484116,24.259549,25.027413,32.350904,24.053414,24.279700,31.874455,23.686501,24.266419,33.565931,24.211917,24.329624,25.227879,32.981855,23.962009,24.339698,32.220753,23.664042,24.295051,32.280433,24.317260,24.576831,31.569202,24.047009,24.177573,31.928779,22.894880,33.942304,24.745075,25.404345,34.634622,24.266966,24.736154,31.280525,24.019140,24.311845,34.838295,24.321004,24.598650,35.628216,24.270172,24.851892,36.661546,22.726720,22.241505,21.884227,20.660799,21.431545,22.423835,22.036097,12.926860,21.693168,12.588162,10.534644,7.114713,12.611407,33.380361,35.476897,19.637945,36.760867,67.144550,70.248236,46.217618,35.200020,25.052529,-0.314217,-0.343421,-0.336858,-0.264997,-0.043182,-714.216995,-743.420570,-736.857969,-664.997484,-443.181509,48.182801,50.874423,46.640042,71.225709,49.331664,310.976831,61.673735,380.532173,52.515656,52.909492
