datetime,epoch_timestamp,register_29,register_33
2025-06-01 23:22:37,1748838157,3715880137,11244405994
2025-06-01 23:23:37,1748838217,3715881188,11244405994
2025-06-01 23:24:37,1748838277,3715882237,11244405994
2025-06-01 23:25:37,1748838337,3715883287,11244405996
2025-06-01 23:26:37,1748838397,3715884338,11244405996
2025-06-01 23:27:37,1748838457,3715885385,11244405996
2025-06-01 23:28:37,1748838517,3715901844,11244501610
2025-06-01 23:29:37,1748838577,3715921581,11244600619
2025-06-01 23:30:37,1748838637,3715941303,11244699485
2025-06-01 23:31:37,1748838697,3715961017,11244798054
2025-06-01 23:32:37,1748838757,3715980762,11244896885
2025-06-01 23:33:37,1748838817,3716000382,11244947984
2025-06-01 23:34:37,1748838877,3716019777,11244947986
2025-06-01 23:35:37,1748838937,3716021951,11244947986
2025-06-01 23:36:37,1748838997,3716023001,11244947985
2025-06-01 23:37:37,1748839057,3716024054,11244947986
2025-06-01 23:38:37,1748839117,3716025106,11244947986
2025-06-01 23:39:37,1748839177,3716026156,11244947987
2025-06-01 23:40:37,1748839237,3716027205,11244947987
2025-06-01 23:41:37,1748839297,3716028255,11244947987
2025-06-01 23:42:37,1748839357,3716029305,11244947987
2025-06-01 23:43:37,1748839417,3716030357,11244947987
2025-06-01 23:44:37,1748839477,3716031406,11244947988
2025-06-01 23:45:37,1748839537,3716032455,11244947989
2025-06-01 23:46:37,1748839597,3716033505,11244947990
2025-06-01 23:47:37,1748839657,3716034557,11244947992
2025-06-01 23:48:37,1748839717,3716035610,11244947992
2025-06-01 23:49:37,1748839777,3716036661,11244947992
2025-06-01 23:50:37,1748839837,3716037713,11244947992
2025-06-01 23:51:37,1748839897,3716038773,11244947993
2025-06-01 23:52:37,1748839957,3716039834,11244947993
2025-06-01 23:53:37,1748840017,3716040896,11244947995
2025-06-01 23:54:37,1748840077,3716041958,11244947995
2025-06-01 23:55:37,1748840137,3716043019,11244947995
2025-06-01 23:56:37,1748840197,3716044071,11244947997
2025-06-01 23:57:37,1748840257,3716045124,11244947997
2025-06-01 23:58:37,1748840317,3716056958,11245019089
2025-06-01 23:59:37,1748840377,3716076801,11245117229
2025-06-02 00:00:37,1748840437,3716096632,11245215369
2025-06-02 00:01:37,1748840497,3716116443,11245313403
2025-06-02 00:02:37,1748840557,3716136253,11245411444
2025-06-02 00:03:37,1748840617,3716156052,11245509566
2025-06-02 00:04:37,1748840677,3716175526,11245510634
2025-06-02 00:05:37,1748840737,3716186898,11245510634
2025-06-02 00:06:37,1748840797,3716187967,11245510636
2025-06-02 00:07:37,1748840857,3716189040,11245510637
2025-06-02 00:08:37,1748840917,3716190110,11245510638
2025-06-02 00:09:37,1748840977,3716191177,11245510638
2025-06-02 00:10:37,1748841037,3716192237,11245510639
2025-06-02 00:11:37,1748841097,3716193297,11245510640
2025-06-02 00:12:37,1748841157,3716194357,11245510641
2025-06-02 00:13:37,1748841217,3716195419,11245510641
2025-06-02 00:14:37,1748841277,3716196479,11245510642
2025-06-02 00:15:37,1748841337,3716197542,11245510643
2025-06-02 00:16:37,1748841397,3716198603,11245510644
2025-06-02 00:17:37,1748841457,3716199667,11245510645
2025-06-02 00:18:37,1748841517,3716200727,11245510645
2025-06-02 00:19:37,1748841577,3716201789,11245510646
2025-06-02 00:20:37,1748841637,3716202845,11245510648
2025-06-02 00:21:37,1748841697,3716203901,11245510648
2025-06-02 00:22:37,1748841757,3716204957,11245510649
2025-06-02 00:23:37,1748841817,3716206013,11245510649
2025-06-02 00:24:37,1748841877,3716207064,11245510650
2025-06-02 00:25:37,1748841937,3716208109,11245510651
2025-06-02 00:26:37,1748841997,3716209155,11245510652
2025-06-02 00:27:37,1748842057,3716210200,11245510653
2025-06-02 00:28:37,1748842117,3716222138,11245581438
2025-06-02 00:29:37,1748842177,3716241949,11245679103
2025-06-02 00:30:37,1748842237,3716261740,11245776585
2025-06-02 00:31:37,1748842297,3716281531,11245873940
2025-06-02 00:32:37,1748842357,3716301321,11245971259
2025-06-02 00:33:37,1748842417,3716321122,11246068628
2025-06-02 00:34:37,1748842477,3716340702,11246093636
2025-06-02 00:35:37,1748842537,3716356528,11246093638
2025-06-02 00:36:37,1748842597,3716357591,11246093639
2025-06-02 00:37:37,1748842657,3716358654,11246093640
2025-06-02 00:38:37,1748842717,3716359712,11246093641
2025-06-02 00:39:37,1748842777,3716360765,11246093642
2025-06-02 00:40:37,1748842837,3716361815,11246093642
2025-06-02 00:41:37,1748842897,3716362867,11246093642
2025-06-02 00:42:37,1748842957,3716363919,11246093643
2025-06-02 00:43:37,1748843017,3716364968,11246093644
2025-06-02 00:44:37,1748843077,3716366019,11246093644
2025-06-02 00:45:37,1748843137,3716367067,11246093644
2025-06-02 00:46:37,1748843197,3716368118,11246093645
2025-06-02 00:47:37,1748843257,3716369166,11246093645
2025-06-02 00:48:37,1748843317,3716370214,11246093645
2025-06-02 00:49:37,1748843377,3716371262,11246093646
2025-06-02 00:50:37,1748843437,3716372310,11246093646
2025-06-02 00:51:37,1748843497,3716373358,11246093646
2025-06-02 00:52:37,1748843557,3716374406,11246093647
2025-06-02 00:53:37,1748843617,3716375455,11246093647
2025-06-02 00:54:37,1748843677,3716376504,11246093648
2025-06-02 00:55:37,1748843737,3716377550,11246093648
2025-06-02 00:56:37,1748843797,3716378595,11246093649
2025-06-02 00:57:37,1748843857,3716381110,11246116691
2025-06-02 00:58:37,1748843917,3716400803,11246212933
2025-06-02 00:59:37,1748843977,3716420477,11246310096
2025-06-02 01:00:37,1748844037,3716440139,11246407035
2025-06-02 01:01:37,1748844097,3716459783,11246503935
2025-06-02 01:02:37,1748844157,3716479414,11246600875
2025-06-02 01:03:37,1748844217,3716498825,11246625485
2025-06-02 01:04:37,1748844277,3716514431,11246625487
2025-06-02 01:05:37,1748844337,3716515484,11246625487
2025-06-02 01:06:37,1748844397,3716516536,11246625490
2025-06-02 01:07:37,1748844457,3716517586,11246625490
2025-06-02 01:08:37,1748844517,3716518633,11246625491
2025-06-02 01:09:37,1748844577,3716519681,11246625491
2025-06-02 01:10:37,1748844637,3716520729,11246625492
2025-06-02 01:11:37,1748844697,3716521777,11246625492
2025-06-02 01:12:37,1748844757,3716522824,11246625492
2025-06-02 01:13:37,1748844817,3716523872,11246625493
2025-06-02 01:14:37,1748844877,3716524918,11246625493
2025-06-02 01:15:37,1748844937,3716525961,11246625494
2025-06-02 01:16:37,1748844997,3716527007,11246625494
2025-06-02 01:17:37,1748845057,3716528052,11246625494
2025-06-02 01:18:37,1748845117,3716529098,11246625495
2025-06-02 01:19:37,1748845177,3716530141,11246625495
2025-06-02 01:20:37,1748845237,3716531186,11246625496
2025-06-02 01:21:37,1748845297,3716532229,11246625496
2025-06-02 01:22:37,1748845357,3716533274,11246625497
2025-06-02 01:23:37,1748845417,3716534314,11246625497
2025-06-02 01:24:37,1748845477,3716535350,11246625497
2025-06-02 01:25:37,1748845537,3716536389,11246625499
2025-06-02 01:26:37,1748845597,3716537426,11246625499
2025-06-02 01:27:37,1748845657,3716538464,11246625499
2025-06-02 01:28:37,1748845717,3716539502,11246625498
2025-06-02 01:29:37,1748845777,3716540540,11246625498
2025-06-02 01:30:37,1748845837,3716541583,11246625500
2025-06-02 01:31:37,1748845897,3716542629,11246625500
2025-06-02 01:32:37,1748845957,3716543674,11246625501
2025-06-02 01:33:37,1748846017,3716560355,11246720023
2025-06-02 01:34:37,1748846077,3716580004,11246815793
2025-06-02 01:35:37,1748846137,3716599635,11246911439
2025-06-02 01:36:37,1748846197,3716619250,11247007103
2025-06-02 01:37:37,1748846257,3716638866,11247102936
2025-06-02 01:38:37,1748846317,3716658333,11247151037
2025-06-02 01:39:37,1748846377,3716677592,11247151039
2025-06-02 01:40:37,1748846437,3716679447,11247151039
2025-06-02 01:41:37,1748846497,3716680501,11247151040
2025-06-02 01:42:37,1748846557,3716681557,11247151041
2025-06-02 01:43:37,1748846617,3716682611,11247151042
2025-06-02 01:44:37,1748846677,3716683664,11247151043
2025-06-02 01:45:37,1748846737,3716684713,11247151045
2025-06-02 01:46:37,1748846797,3716685762,11247151046
2025-06-02 01:47:37,1748846857,3716686814,11247151046
2025-06-02 01:48:37,1748846917,3716687867,11247151048
2025-06-02 01:49:37,1748846977,3716688919,11247151048
2025-06-02 01:50:37,1748847037,3716689970,11247151049
2025-06-02 01:51:37,1748847097,3716691020,11247151050
2025-06-02 01:52:37,1748847157,3716692069,11247151051
2025-06-02 01:53:37,1748847217,3716693119,11247151052
2025-06-02 01:54:37,1748847277,3716694168,11247151053
2025-06-02 01:55:37,1748847337,3716695216,11247151054
2025-06-02 01:56:37,1748847397,3716696265,11247151055
2025-06-02 01:57:37,1748847457,3716697316,11247151055
2025-06-02 01:58:37,1748847517,3716698369,11247151056
2025-06-02 01:59:37,1748847577,3716699419,11247151057
2025-06-02 02:00:37,1748847637,3716700472,11247151059
2025-06-02 02:01:37,1748847697,3716707803,11247198390
2025-06-02 02:02:37,1748847757,3716727538,11247294496
2025-06-02 02:03:37,1748847817,3716747251,11247390816
2025-06-02 02:04:37,1748847877,3716766937,11247487129
2025-06-02 02:05:37,1748847937,3716786619,11247583413
2025-06-02 02:06:37,1748847997,3716806282,11247679677
2025-06-02 02:07:37,1748848057,3716825731,11247703653
2025-06-02 02:08:37,1748848117,3716841212,11247703654
2025-06-02 02:09:37,1748848177,3716842270,11247703657
2025-06-02 02:10:37,1748848237,3716843326,11247703659
2025-06-02 02:11:37,1748848297,3716844378,11247703660
2025-06-02 02:12:37,1748848357,3716845432,11247703662
2025-06-02 02:13:37,1748848417,3716846482,11247703664
2025-06-02 02:14:37,1748848477,3716847533,11247703666
2025-06-02 02:15:37,1748848537,3716848580,11247703667
2025-06-02 02:16:37,1748848597,3716849632,11247703669
2025-06-02 02:17:37,1748848657,3716850684,11247703672
2025-06-02 02:18:37,1748848717,3716851736,11247703672
2025-06-02 02:19:37,1748848777,3716852782,11247703674
2025-06-02 02:20:37,1748848837,3716853832,11247703675
2025-06-02 02:21:37,1748848897,3716854880,11247703677
2025-06-02 02:22:37,1748848957,3716855929,11247703679
2025-06-02 02:23:37,1748849017,3716856980,11247703682
2025-06-02 02:24:37,1748849077,3716858032,11247703683
2025-06-02 02:25:37,1748849137,3716859083,11247703685
2025-06-02 02:26:37,1748849197,3716860136,11247703686
2025-06-02 02:27:37,1748849257,3716861191,11247703689
2025-06-02 02:28:37,1748849317,3716862244,11247703690
2025-06-02 02:29:37,1748849377,3716863296,11247703692
2025-06-02 02:30:37,1748849437,3716864348,11247703692
2025-06-02 02:31:37,1748849497,3716865399,11247703694
2025-06-02 02:32:37,1748849557,3716866452,11247703696
2025-06-02 02:33:37,1748849617,3716867503,11247703697
2025-06-02 02:34:37,1748849677,3716868560,11247703700
2025-06-02 02:35:37,1748849737,3716869613,11247703702
2025-06-02 02:36:37,1748849797,3716870666,11247703703
2025-06-02 02:37:37,1748849857,3716871718,11247703704
2025-06-02 02:38:37,1748849917,3716872770,11247703705
2025-06-02 02:39:37,1748849977,3716873821,11247703706
2025-06-02 02:40:37,1748850037,3716885908,11247774971
2025-06-02 02:41:37,1748850097,3716905652,11247870910
2025-06-02 02:42:37,1748850157,3716925382,11247966625
2025-06-02 02:43:37,1748850217,3716945102,11248062343
2025-06-02 02:44:37,1748850277,3716964824,11248158106
2025-06-02 02:45:37,1748850337,3716984531,11248253062
2025-06-02 02:46:37,1748850397,3717003937,11248253066
2025-06-02 02:47:37,1748850457,3717014794,11248253068
