Date & Time,Air Temperature [degC],Thermostat,EIR,Capacity_W,Power_kW
2024-06-30 00:09:00,28.8,24.121512,0.20434019225014965,8299.476712461388,1.695916667
2024-06-30 00:10:00,28.8,23.54176,0.2082372225168838,8143.596901185641,1.6958
2024-06-30 00:11:00,28.7,23.04571,0.21085434039390086,8041.807424178821,1.69565
2024-06-30 00:12:00,28.7,22.74021,0.21272092731325523,7973.514192622219,1.696133333
2024-06-30 00:13:00,28.7,22.535897,0.21393596702601098,7925.190684714825,1.695483333
2024-06-30 00:14:00,28.7,22.270354,0.2154752503801406,7873.294018719279,1.6965
2024-06-30 00:40:00,28.2,24.088542,0.20140669492638075,8336.531879507429,1.679033333
2024-06-30 00:41:00,28.1,23.489424,0.2048520675788615,8194.693955694414,1.6787
2024-06-30 00:42:00,28.1,22.95624,0.20818463612455346,8081.448104525004,1.682433333
2024-06-30 00:43:00,28.1,22.731327,0.20953590238827238,8026.389023698549,1.681816667
2024-06-30 00:44:00,28.1,22.542902,0.21064305111287918,7979.6128622314145,1.68085
2024-06-30 00:45:00,28.1,22.216865,0.2125051564392024,7904.43564356788,1.679733333
2024-06-30 01:12:00,27.5,23.845589,0.19947418404727413,8394.23578042144,1.674433333
2024-06-30 01:13:00,27.5,23.385543,0.20243268725931013,8260.27665116171,1.67215
2024-06-30 01:14:00,27.5,22.902711,0.20539217971889545,8122.834419905206,1.668366667
2024-06-30 01:15:00,27.5,22.596976,0.2071890879704713,8049.169077078429,1.6677
2024-06-30 01:16:00,27.5,22.366647,0.20850333562987478,7974.772499331448,1.662766667
2024-06-30 01:17:00,27.5,22.231103,0.2092608894048123,7933.000149820753,1.660066667
2024-06-30 01:49:00,26.9,23.845913,0.19653093039923603,8358.05673775198,1.642616667
2024-06-30 01:50:00,26.9,23.342831,0.19972388512833758,8215.842581600085,1.6409
2024-06-30 01:51:00,26.8,22.856722,0.20216419695015928,8124.913767025482,1.642566667
2024-06-30 01:52:00,26.8,22.490165,0.20427050114238618,8035.9947120107445,1.641516667
2024-06-30 01:53:00,26.8,22.266154,0.20551541512115873,7984.47810852831,1.640933333
2024-06-30 02:25:00,26.4,23.894311,0.19385064936603372,8403.892405456389,1.6291
2024-06-30 02:26:00,26.4,23.477434,0.19649636138300536,8300.492973612201,1.631016667
2024-06-30 02:27:00,26.4,23.019993,0.19927164853284723,8175.355997677021,1.629116667
2024-06-30 02:28:00,26.4,22.480498,0.20237280676406855,8054.112403057287,1.629933333
2024-06-30 02:29:00,26.4,22.345645,0.20311890402408614,8032.241055251728,1.6315
2024-06-30 02:30:00,26.4,22.141321,0.20422720546466339,7151.5121096474595,1.460533333
2024-06-30 03:05:00,26.3,24.058952,0.1923132767616709,8373.83683080669,1.6104
2024-06-30 03:06:00,26.3,23.516241,0.19578651328432492,8276.361700393654,1.6204
2024-06-30 03:07:00,26.3,22.990973,0.19896877332288349,8135.782514842619,1.618766667
2024-06-30 03:08:00,26.3,22.580593,0.20133224466168248,8041.848118867885,1.619083333
2024-06-30 03:09:00,26.3,22.278255,0.20300458769760338,7982.331918595999,1.62045
2024-06-30 03:10:00,26.3,22.121356,0.20384941820074834,7952.438688853951,1.6211
2024-06-30 03:49:00,26.0,24.090992,0.19073608503120684,8409.613035402099,1.604016667
