Date/Time,Electricity:HVAC [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 01/21  00:01:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:02:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:03:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:04:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:05:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:06:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:07:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:08:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:09:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:10:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:11:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:12:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:13:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:14:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:15:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:16:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:17:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:18:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:19:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:20:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:21:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:22:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:23:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:24:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:25:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:26:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:27:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:28:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:29:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:30:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:31:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:32:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:33:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:34:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:35:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:36:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:37:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:38:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:39:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:40:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:41:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:42:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:43:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:44:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:45:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:46:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:47:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:48:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:49:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:50:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:51:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:52:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:53:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:54:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:55:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:56:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:57:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:58:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  00:59:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:00:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:01:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:02:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:03:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:04:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:05:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:06:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:07:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:08:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:09:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:10:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:11:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:12:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:13:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:14:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:15:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:16:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:17:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:18:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:19:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:20:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:21:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:22:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:23:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:24:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:25:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:26:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:27:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:28:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:29:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:30:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:31:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:32:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:33:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:34:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:35:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:36:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:37:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:38:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:39:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:40:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:41:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:42:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:43:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:44:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:45:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:46:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:47:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:48:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:49:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:50:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:51:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:52:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:53:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:54:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:55:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:56:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:57:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:58:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  01:59:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  02:00:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
 01/21  02:01:00,133022.74033697399,112256.89889370556,0.0,190022.74033697399 
